Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SP.POP.0014.TO.ZS,"47,905979964","47,7689137171","47,7109333743","47,690823715","47,6491832202","47,5528283122","47,3019095504","47,0179888966","46,7198945085","46,4238683725","46,1246949398","45,7113500871","45,2624655289","44,8158839661","44,4198929108","44,0938328119","43,5884066925","43,2357364902","42,9793486728","42,7434795971","42,4969848722","42,2995402044","42,054833093","41,8075097323","41,6166771775","41,4983716549","41,4528805929","41,4239288131","41,3986032194","41,3481634218","41,2524740492","41,1377429163","40,9866091792","40,7894534052","40,5412169103","40,2421372809","39,9272383099","39,5785754644","39,1870129247","38,7381600886","38,2259953084","37,7349270571","37,1496465082","36,5100389661","35,8762195064","35,2796388504","34,6750703789","34,1683427867","33,7112921814","33,2322429068","32,702563996","32,2240764388","31,6719029866","31,0951736008","30,5707210572"
SP.DYN.TO65.MA.ZS,"61,4694","61,8022","62,135","62,3282","62,5214","62,7146","62,9078","63,101","63,308","63,515","63,722","63,929","64,136","64,2788","64,4216","64,5644","64,7072","64,85","64,9778","65,1056","65,2334","65,3612","65,489","65,6034","65,7178","65,8322","65,9466","66,061","66,2602","66,4594","66,6586","66,8578","67,057","67,2498","67,4426","67,6354","67,8282","68,021","68,4552","68,8894","69,3236","69,7578","70,192","70,5008","70,8096","71,1184","71,4272","71,736","72,0442","72,3524","72,6606","72,9688","73,277","73,3647","73,45241"
SP.DYN.TO65.FE.ZS,"69,5066","69,8528","70,199","70,381","70,563","70,745","70,927","71,109","71,3844","71,6598","71,9352","72,2106","72,486","72,599","72,712","72,825","72,938","73,051","73,1578","73,2646","73,3714","73,4782","73,585","73,686","73,787","73,888","73,989","74,09","74,2442","74,3984","74,5526","74,7068","74,861","75,0126","75,1642","75,3158","75,4674","75,619","75,8312","76,0434","76,2556","76,4678","76,68","76,9594","77,2388","77,5182","77,7976","78,077","78,3534","78,6298","78,9062","79,1826","79,459","79,60076","79,74253"
SP.DYN.TFRT.IN,"6,5","6,489","6,472","6,447","6,41","6,356","6,276","6,17","6,041","5,894","5,739","5,591","5,458","5,351","5,272","5,223","5,198","5,189","5,186","5,183","5,174","5,155","5,126","5,087","5,037","4,974","4,9","4,818","4,73","4,639","4,547","4,457","4,368","4,282","4,196","4,108","4,014","3,911","3,798","3,678","3,553","3,431","3,315","3,21","3,119","3,04","2,97","2,907","2,846","2,787","2,73","2,675","2,625","2,581","2,542"
SP.DYN.LE00.MA.IN,"61,862","62,089","62,303","62,493","62,659","62,8","62,925","63,045","63,167","63,295","63,429","63,567","63,704","63,836","63,962","64,083","64,198","64,31","64,42","64,529","64,635","64,737","64,835","64,93","65,024","65,122","65,231","65,354","65,493","65,649","65,817","65,993","66,169","66,345","66,521","66,704","66,905","67,129","67,38","67,654","67,942","68,234","68,515","68,778","69,018","69,239","69,446","69,648","69,852","70,055","70,253","70,435","70,594","70,726","70,83"
SP.DYN.LE00.IN,"63,7937073171","64,0182682927","64,226902439","64,4110487805","64,5702195122","64,707804878","64,8357317073","64,9664634146","65,1089512195","65,2657317073","65,4333902439","65,6065121951","65,7752195122","65,932097561","66,0761463415","66,206902439","66,325804878","66,4387804878","66,5497560976","66,6607073171","66,771097561","66,8789512195","66,9837804878","67,0865853659","67,1888780488","67,2946829268","67,411","67,5398536585","67,6832439024","67,8421707317","68,0126097561","68,1910487805","68,3704634146","68,5508536585","68,7307560976","68,9152195122","69,112804878","69,3270487805","69,5614634146","69,8125365854","70,0746829268","70,3398536585","70,5974390244","70,8423902439","71,0711707317","71,2863170732","71,4918536585","71,6948292683","71,8988292683","72,1023170732","72,3012926829","72,487195122","72,654","72,7991707317","72,9217073171"
SP.DYN.LE00.FE.IN,"65,822","66,044","66,247","66,425","66,577","66,711","66,842","66,984","67,148","67,335","67,538","67,748","67,95","68,133","68,296","68,437","68,56","68,674","68,786","68,899","69,014","69,128","69,24","69,351","69,462","69,576","69,7","69,835","69,983","70,145","70,318","70,499","70,682","70,867","71,051","71,237","71,431","71,635","71,852","72,079","72,314","72,551","72,784","73,01","73,227","73,436","73,64","73,844","74,048","74,252","74,452","74,642","74,817","74,976","75,118"
SP.DYN.IMRT.IN,"62,6",62,"61,4","60,9","60,5",60,"59,6","59,3","58,9","58,4",58,"57,4","56,8","56,1","55,3","54,5","53,6","52,6","51,6","50,5","49,4","48,3",47,"45,7","44,4","43,2","41,9","40,7","39,4","38,3","37,1","35,9","34,8","33,8","32,8","31,8","30,9","30,1","29,3","28,5","27,7","26,9","26,1","25,3","24,6","23,8","23,1","22,4","21,7",21,"20,4","19,8","19,2","18,6","18,1"
SP.DYN.CDRT.IN,"8,226","8,112","8,006","7,912","7,83","7,757","7,684","7,604","7,513","7,413","7,307","7,204","7,112","7,036","6,978","6,939","6,916","6,901","6,89","6,878","6,864","6,846","6,824","6,799","6,769","6,732","6,686","6,632","6,569","6,501","6,429","6,357","6,287","6,221","6,161","6,102","6,043","5,98","5,912","5,842","5,771","5,708","5,655","5,616","5,591","5,579","5,576","5,577","5,578","5,578","5,58","5,585","5,598","5,62","5,652"
SP.DYN.CBRT.IN,"41,888","41,62","41,355","41,083","40,791","40,441","39,992","39,432","38,774","38,046","37,309","36,636","36,093","35,72","35,531","35,523","35,669","35,903","36,161","36,401","36,582","36,678","36,683","36,598","36,412","36,122","35,731","35,261","34,734","34,166","33,579","32,993","32,415","31,847","31,289","30,718","30,105","29,429","28,687","27,893","27,079","26,291","25,57","24,944","24,422","23,998","23,649","23,338","23,034","22,728","22,419","22,117","21,837","21,588","21,368"
